rg,rc,rp,family,kappa_c_mean,kappa_c_std,n_valid
0.1,0.1,0.8,CP,0.202500,0.002983,30
0.1,0.1,0.8,RGG,0.373333,0.160851,30
0.1,0.1,0.8,SBM,0.155352,0.047864,30
0.1,0.1,0.8,WS,0.142813,0.040089,30
0.1,0.2,0.7,CP,0.202839,0.006486,30
0.1,0.2,0.7,RGG,0.350469,0.130632,30
0.1,0.2,0.7,SBM,0.133138,0.045859,30
0.1,0.2,0.7,WS,0.118229,0.026465,30
0.1,0.3,0.6,CP,0.208281,0.036758,30
0.1,0.3,0.6,RGG,0.285625,0.105763,30
0.1,0.3,0.6,SBM,0.132396,0.055711,30
0.1,0.3,0.6,WS,0.116823,0.031341,30
0.1,0.4,0.5,CP,0.211849,0.041158,30
0.1,0.4,0.5,RGG,0.354427,0.142253,30
0.1,0.4,0.5,SBM,0.120182,0.047147,30
0.1,0.4,0.5,WS,0.112760,0.023729,30
0.1,0.5,0.4,CP,0.200664,0.000606,30
0.1,0.5,0.4,RGG,0.316094,0.116872,30
0.1,0.5,0.4,SBM,0.121348,0.047460,30
0.1,0.5,0.4,WS,0.112448,0.024339,30
0.1,0.6,0.3,CP,0.201888,0.002844,30
0.1,0.6,0.3,RGG,0.296458,0.093650,30
0.1,0.6,0.3,SBM,0.117539,0.046047,30
0.1,0.6,0.3,WS,0.119219,0.028129,30
0.1,0.7,0.2,CP,0.200625,0.002206,30
0.1,0.7,0.2,RGG,0.348646,0.133798,30
0.1,0.7,0.2,SBM,0.123320,0.052061,30
0.1,0.7,0.2,WS,0.112500,0.019016,30
0.1,0.8,0.1,CP,0.201146,0.001379,30
0.1,0.8,0.1,RGG,0.318437,0.118201,30
0.1,0.8,0.1,SBM,0.141393,0.053695,30
0.1,0.8,0.1,WS,0.110208,0.025692,30
0.1,0.9,0.0,CP,0.201081,0.001267,30
0.1,0.9,0.0,RGG,0.319792,0.113039,30
0.1,0.9,0.0,SBM,0.132591,0.057053,30
0.1,0.9,0.0,WS,0.119896,0.029780,30
0.2,0.1,0.7,CP,0.203294,0.005673,30
0.2,0.1,0.7,RGG,0.353542,0.131349,30
0.2,0.1,0.7,SBM,0.147982,0.049012,30
0.2,0.1,0.7,WS,0.124271,0.033576,30
0.2,0.2,0.6,CP,0.200443,0.002384,30
0.2,0.2,0.6,RGG,0.313177,0.117031,30
0.2,0.2,0.6,SBM,0.111719,0.030456,30
0.2,0.2,0.6,WS,0.108490,0.023140,30
0.2,0.3,0.5,CP,0.200000,0.000000,30
0.2,0.3,0.5,RGG,0.301719,0.107697,30
0.2,0.3,0.5,SBM,0.089492,0.013464,30
0.2,0.3,0.5,WS,0.104479,0.023226,30
0.2,0.4,0.4,CP,0.200182,0.000982,30
0.2,0.4,0.4,RGG,0.256615,0.079117,30
0.2,0.4,0.4,SBM,0.094284,0.033400,30
0.2,0.4,0.4,WS,0.106458,0.030318,30
0.2,0.5,0.3,CP,0.198672,0.007152,30
0.2,0.5,0.3,RGG,0.261615,0.094341,30
0.2,0.5,0.3,SBM,0.096510,0.036336,30
0.2,0.5,0.3,WS,0.102604,0.022943,30
0.2,0.6,0.2,CP,0.200182,0.000982,30
0.2,0.6,0.2,RGG,0.279063,0.109654,30
0.2,0.6,0.2,SBM,0.085781,0.019713,30
0.2,0.6,0.2,WS,0.101510,0.026897,30
0.2,0.7,0.1,CP,0.197734,0.012201,30
0.2,0.7,0.1,RGG,0.274688,0.098929,30
0.2,0.7,0.1,SBM,0.087461,0.030271,30
0.2,0.7,0.1,WS,0.094635,0.017511,30
0.2,0.8,0.0,CP,0.198490,0.012240,30
0.2,0.8,0.0,RGG,0.293021,0.120365,30
0.2,0.8,0.0,SBM,0.082813,0.020223,30
0.2,0.8,0.0,WS,0.101927,0.030515,30
0.3,0.1,0.6,CP,0.200781,0.000579,30
0.3,0.1,0.6,RGG,0.322826,0.110280,30
0.3,0.1,0.6,SBM,0.129798,0.047458,30
0.3,0.1,0.6,WS,0.119167,0.033760,30
0.3,0.2,0.5,CP,0.200391,0.002104,30
0.3,0.2,0.5,RGG,0.312135,0.114228,30
0.3,0.2,0.5,SBM,0.093490,0.019172,30
0.3,0.2,0.5,WS,0.113750,0.037792,30
0.3,0.3,0.4,CP,0.200000,0.000000,30
0.3,0.3,0.4,RGG,0.267135,0.100114,30
0.3,0.3,0.4,SBM,0.084909,0.016350,30
0.3,0.3,0.4,WS,0.098490,0.018814,30
0.3,0.4,0.3,CP,0.198776,0.006591,30
0.3,0.4,0.3,RGG,0.261667,0.082221,30
0.3,0.4,0.3,SBM,0.072240,0.006798,30
0.3,0.4,0.3,WS,0.098490,0.028836,30
0.3,0.5,0.2,CP,0.200000,0.000000,30
0.3,0.5,0.2,RGG,0.250625,0.098611,30
0.3,0.5,0.2,SBM,0.074948,0.017570,30
0.3,0.5,0.2,WS,0.094063,0.029132,30
0.3,0.6,0.1,CP,0.197526,0.013323,30
0.3,0.6,0.1,RGG,0.266406,0.120404,30
0.3,0.6,0.1,SBM,0.077448,0.015599,30
0.3,0.6,0.1,WS,0.094531,0.033497,30
0.3,0.7,0.0,CP,0.200000,0.000000,30
0.3,0.7,0.0,RGG,0.234583,0.091089,30
0.3,0.7,0.0,SBM,0.072500,0.008805,30
0.3,0.7,0.0,WS,0.098281,0.024592,30
0.4,0.1,0.5,CP,0.199909,0.005152,30
0.4,0.1,0.5,RGG,0.310482,0.123345,30
0.4,0.1,0.5,SBM,0.124870,0.053884,30
0.4,0.1,0.5,WS,0.120469,0.026500,30
0.4,0.2,0.4,CP,0.200000,0.000000,30
0.4,0.2,0.4,RGG,0.271927,0.109265,30
0.4,0.2,0.4,SBM,0.087344,0.018490,30
0.4,0.2,0.4,WS,0.103646,0.025921,30
0.4,0.3,0.3,CP,0.199401,0.003226,30
0.4,0.3,0.3,RGG,0.237656,0.077901,30
0.4,0.3,0.3,SBM,0.075521,0.012643,30
0.4,0.3,0.3,WS,0.094844,0.019889,30
0.4,0.4,0.2,CP,0.200000,0.000000,30
0.4,0.4,0.2,RGG,0.233177,0.081655,30
0.4,0.4,0.2,SBM,0.075521,0.024474,30
0.4,0.4,0.2,WS,0.096250,0.022282,30
0.4,0.5,0.1,CP,0.200000,0.000000,30
0.4,0.5,0.1,RGG,0.256927,0.096682,30
0.4,0.5,0.1,SBM,0.071042,0.014973,30
0.4,0.5,0.1,WS,0.091719,0.025125,30
0.4,0.6,0.0,CP,0.200000,0.000000,30
0.4,0.6,0.0,RGG,0.241719,0.090399,30
0.4,0.6,0.0,SBM,0.067500,0.010871,30
0.4,0.6,0.0,WS,0.087083,0.024800,30
0.5,0.1,0.4,CP,0.198737,0.011255,30
0.5,0.1,0.4,RGG,0.327865,0.108852,30
0.5,0.1,0.4,SBM,0.130475,0.051589,30
0.5,0.1,0.4,WS,0.124531,0.026548,30
0.5,0.2,0.3,CP,0.200365,0.001364,30
0.5,0.2,0.3,RGG,0.267292,0.079002,30
0.5,0.2,0.3,SBM,0.086276,0.023252,30
0.5,0.2,0.3,WS,0.097135,0.023324,30
