rg,rc,rp,ng,nc,np,family,realisation,seed,household_mean_deg,kappa_c,connected
0.1,0.1,0.8,5,5,39,WS,0,0,4.000,0.336719,1
0.1,0.1,0.8,5,5,39,WS,1,1,4.000,0.247656,1
0.1,0.1,0.8,5,5,39,WS,2,2,4.000,0.211719,1
0.1,0.1,0.8,5,5,39,WS,3,3,4.000,0.357031,1
0.1,0.1,0.8,5,5,39,WS,4,4,4.000,0.185156,1
0.1,0.1,0.8,5,5,39,WS,5,5,4.000,0.196094,1
0.1,0.1,0.8,5,5,39,WS,6,6,4.000,0.150781,1
0.1,0.1,0.8,5,5,39,WS,7,7,4.000,0.205469,1
0.1,0.1,0.8,5,5,39,WS,8,8,4.000,0.191406,1
0.1,0.1,0.8,5,5,39,WS,9,9,4.000,0.308594,1
0.1,0.1,0.8,5,5,39,WS,10,10,4.000,0.177344,1
0.1,0.1,0.8,5,5,39,WS,11,11,4.000,0.139844,1
0.1,0.1,0.8,5,5,39,WS,12,12,4.000,0.267969,1
0.1,0.1,0.8,5,5,39,WS,13,13,4.000,0.200781,1
0.1,0.1,0.8,5,5,39,WS,14,14,4.000,0.413281,1
0.1,0.1,0.8,5,5,39,WS,15,15,4.000,0.461719,1
0.1,0.1,0.8,5,5,39,WS,16,16,4.000,0.180469,1
0.1,0.1,0.8,5,5,39,WS,17,17,4.000,0.196094,1
0.1,0.1,0.8,5,5,39,WS,18,18,4.000,0.214844,1
0.1,0.1,0.8,5,5,39,WS,19,19,4.000,0.233594,1
0.1,0.1,0.8,5,5,39,WS,20,20,4.000,0.153906,1
0.1,0.1,0.8,5,5,39,WS,21,21,4.000,0.152344,1
0.1,0.1,0.8,5,5,39,WS,22,22,4.000,0.244531,1
0.1,0.1,0.8,5,5,39,WS,23,23,4.000,0.182031,1
0.1,0.1,0.8,5,5,39,WS,24,24,4.000,0.224219,1
0.1,0.1,0.8,5,5,39,WS,25,25,4.000,0.114844,1
0.1,0.1,0.8,5,5,39,WS,26,26,4.000,0.333594,1
0.1,0.1,0.8,5,5,39,WS,27,27,4.000,0.263281,1
0.1,0.1,0.8,5,5,39,WS,28,28,4.000,0.241406,1
0.1,0.1,0.8,5,5,39,WS,29,29,4.000,0.149219,1
0.1,0.1,0.8,5,5,39,RGG,0,100,4.000,14.924219,1
0.1,0.1,0.8,5,5,39,RGG,1,101,4.082,14.340625,1
0.1,0.1,0.8,5,5,39,RGG,2,102,4.041,NaN,1
0.1,0.1,0.8,5,5,39,RGG,3,103,4.041,NaN,1
0.1,0.1,0.8,5,5,39,RGG,4,104,4.000,NaN,1
0.1,0.1,0.8,5,5,39,RGG,5,105,3.959,0.827344,1
0.1,0.1,0.8,5,5,39,RGG,6,106,3.959,14.587494,1
0.1,0.1,0.8,5,5,39,RGG,7,107,4.082,14.675000,1
0.1,0.1,0.8,5,5,39,RGG,8,108,3.918,14.028906,1
0.1,0.1,0.8,5,5,39,RGG,9,109,4.000,NaN,1
0.1,0.1,0.8,5,5,39,RGG,10,110,4.082,14.559326,1
0.1,0.1,0.8,5,5,39,RGG,11,111,3.918,0.352344,1
0.1,0.1,0.8,5,5,39,RGG,12,112,4.041,14.737500,1
0.1,0.1,0.8,5,5,39,RGG,13,113,4.082,NaN,1
0.1,0.1,0.8,5,5,39,RGG,14,114,4.000,NaN,1
0.1,0.1,0.8,5,5,39,RGG,15,115,4.000,14.874219,1
0.1,0.1,0.8,5,5,39,RGG,16,116,4.000,14.458594,1
0.1,0.1,0.8,5,5,39,RGG,17,117,4.041,14.961719,1
0.1,0.1,0.8,5,5,39,RGG,18,118,4.000,14.460156,1
0.1,0.1,0.8,5,5,39,RGG,19,119,3.959,NaN,1
0.1,0.1,0.8,5,5,39,RGG,20,120,3.918,14.624609,1
0.1,0.1,0.8,5,5,39,RGG,21,121,3.918,14.405469,1
0.1,0.1,0.8,5,5,39,RGG,22,122,3.959,14.865625,1
0.1,0.1,0.8,5,5,39,RGG,23,123,4.000,14.596094,1
0.1,0.1,0.8,5,5,39,RGG,24,124,3.959,14.866406,1
0.1,0.1,0.8,5,5,39,RGG,25,125,4.082,14.887500,1
0.1,0.1,0.8,5,5,39,RGG,26,126,4.041,14.453906,1
0.1,0.1,0.8,5,5,39,RGG,27,127,4.082,NaN,1
0.1,0.1,0.8,5,5,39,RGG,28,128,4.041,14.687500,1
0.1,0.1,0.8,5,5,39,RGG,29,129,3.959,0.855469,1
0.1,0.1,0.8,5,5,39,SBM,0,200,4.000,14.783594,1
0.1,0.1,0.8,5,5,39,SBM,1,201,3.959,14.724219,1
0.1,0.1,0.8,5,5,39,SBM,2,202,4.082,14.385156,1
0.1,0.1,0.8,5,5,39,SBM,3,203,4.082,14.957031,1
0.1,0.1,0.8,5,5,39,SBM,4,204,3.918,NaN,1
0.1,0.1,0.8,5,5,39,SBM,5,205,3.918,NaN,1
0.1,0.1,0.8,5,5,39,SBM,6,206,3.959,14.323437,1
0.1,0.1,0.8,5,5,39,SBM,7,207,4.000,14.887500,1
0.1,0.1,0.8,5,5,39,SBM,8,208,3.959,14.874219,1
0.1,0.1,0.8,5,5,39,SBM,9,209,4.041,14.949219,1
0.1,0.1,0.8,5,5,39,SBM,10,210,4.082,14.696094,1
0.1,0.1,0.8,5,5,39,SBM,11,211,3.959,14.783594,1
0.1,0.1,0.8,5,5,39,SBM,12,212,4.082,14.847656,1
0.1,0.1,0.8,5,5,39,SBM,13,213,3.959,14.884375,1
0.1,0.1,0.8,5,5,39,SBM,14,214,3.918,NaN,1
0.1,0.1,0.8,5,5,39,SBM,15,215,4.082,14.676562,1
0.1,0.1,0.8,5,5,39,SBM,16,216,4.041,NaN,1
0.1,0.1,0.8,5,5,39,SBM,17,217,4.041,NaN,1
0.1,0.1,0.8,5,5,39,SBM,18,218,4.082,14.803906,1
0.1,0.1,0.8,5,5,39,SBM,19,219,4.041,14.367969,1
0.1,0.1,0.8,5,5,39,SBM,20,220,4.041,14.472656,1
0.1,0.1,0.8,5,5,39,SBM,21,221,4.082,14.974219,1
0.1,0.1,0.8,5,5,39,SBM,22,222,4.082,14.383594,1
0.1,0.1,0.8,5,5,39,SBM,23,223,4.000,14.821094,1
0.1,0.1,0.8,5,5,39,SBM,24,224,4.000,14.862109,1
