Hour,Spring_P25,Spring_P75,Summer_P25,Summer_P75,Autumn_P25,Autumn_P75,Winter_P25,Winter_P75
0,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002
1,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002
2,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002
3,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002
4,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002
5,0.0,0.002,0.0,0.024,0.0,0.002,0.0,0.002
6,0.0,0.055,0.021,0.156,0.0,0.002,0.0,0.002
7,0.016,0.259,0.06,0.439,0.0,0.023,0.0,0.002
8,0.09,0.707,0.126,0.954,0.01,0.194,0.0,0.002
9,0.184,1.286,0.205,1.497,0.059,0.676,0.004,0.108
10,0.272,1.771,0.27,1.886,0.122,1.062,0.054,0.533
11,0.301,2.114,0.3,2.054,0.163,1.288,0.099,0.951
12,0.314,2.215,0.314,2.104,0.168,1.42,0.12,1.138
13,0.275,2.198,0.306,2.157,0.144,1.373,0.11,1.211
14,0.264,2.026,0.306,2.01,0.112,1.137,0.065,0.989
15,0.283,1.764,0.295,1.806,0.065,0.806,0.041,0.501
16,0.215,1.309,0.267,1.45,0.031,0.425,0.008,0.155
17,0.12,0.776,0.186,0.945,0.002,0.17,0.0,0.021
18,0.036,0.304,0.089,0.471,0.0,0.021,0.0,0.002
19,0.0,0.09,0.028,0.17,0.0,0.002,0.0,0.002
20,0.0,0.003,0.0,0.038,0.0,0.002,0.0,0.002
21,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002
22,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002
23,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002
