month,month_name,hour,avg_kwh,p10_kwh,p90_kwh
1,Jan,0,0.4544982773696253,0.0928709677419355,0.8589032258064513
1,Jan,1,0.3560226338973919,0.07427096774193549,0.6558663837011883
1,Jan,2,0.2980783311689014,0.06500322580645161,0.5529967741935482
1,Jan,3,0.2704871929505485,0.06166748038360943,0.49654547858276044
1,Jan,4,0.2580649391029614,0.06015806451612903,0.4818772078265466
1,Jan,5,0.2672596155493993,0.06325053763440862,0.5108972488207296
1,Jan,6,0.3154328459030898,0.07176129032258065,0.6459901632786885
1,Jan,7,0.4081978555133125,0.09487096774193547,0.8550096780645161
1,Jan,8,0.4948975453642937,0.12264193548387099,0.9946096780645161
1,Jan,9,0.5011858865530348,0.13810000000000003,0.984587086129032
1,Jan,10,0.5026734928971686,0.13523870967741936,0.9742806425806448
1,Jan,11,0.5017698089869256,0.13591232152300373,0.9908225783870966
1,Jan,12,0.5111655410565795,0.13896129032258064,0.9974548380645158
1,Jan,13,0.5196305839556892,0.1440530936012692,1.0229580132522476
1,Jan,14,0.512744910731044,0.14146666666666666,1.0004645103225807
1,Jan,15,0.5173015841821058,0.14072580645161292,1.010532160312805
1,Jan,16,0.5805438397469199,0.15926494623655912,1.1397708119830776
1,Jan,17,0.7067903790557496,0.19512822580645162,1.3922391167229902
1,Jan,18,0.7857887779430415,0.222167477525119,1.5165615546817783
1,Jan,19,0.8051689678104453,0.2304383923849815,1.5615419356989244
1,Jan,20,0.7659865725487603,0.22337419354838714,1.4750494587096774
1,Jan,21,0.7132514488720872,0.205847311827957,1.3582612893548383
1,Jan,22,0.6387729226529327,0.17645616076150186,1.2241580625806447
1,Jan,23,0.5178877160776705,0.1245691168693813,1.0491430253339389
2,Feb,0,0.4428098163743284,0.08951428571428571,0.846869642857143
2,Feb,1,0.35480792128976746,0.07168367965367967,0.648999999047619
2,Feb,2,0.2985221407292663,0.06423636363636365,0.5521519047619045
2,Feb,3,0.2720315903157335,0.060810989010989025,0.49613090909090896
2,Feb,4,0.26067527628289144,0.06005316017316017,0.48691792207792206
2,Feb,5,0.2705742082980139,0.0629818181818182,0.527974545454545
2,Feb,6,0.32117222413392393,0.07188727272727273,0.6709955244755242
2,Feb,7,0.4163061787788813,0.09692363636363636,0.8580690919999999
2,Feb,8,0.4975377054866679,0.12766102272727275,0.9856109076363635
2,Feb,9,0.5037642763989869,0.1378992207792208,0.9899366233766232
2,Feb,10,0.4978248423882042,0.13485090909090908,0.9856625115497835
2,Feb,11,0.49028569322753734,0.13170909090909091,0.9694416883116882
2,Feb,12,0.49607472706311007,0.13340000000000002,0.9694654545454545
2,Feb,13,0.5022985589672534,0.1377818181818182,0.989261822181818
2,Feb,14,0.4927129485898046,0.13318961038961039,0.970491433108225
2,Feb,15,0.4915831093103784,0.13223636363636362,0.9568981836363636
2,Feb,16,0.5285511870677728,0.14356363636363637,1.033125889350649
2,Feb,17,0.6307538037502806,0.1744394984326019,1.2417854534545454
2,Feb,18,0.7547700534292197,0.2107636378181818,1.470031324700985
2,Feb,19,0.7904090645862027,0.2257735068571429,1.522456963393939
2,Feb,20,0.7564547665321721,0.22214545454545453,1.4724290883636364
2,Feb,21,0.7049295425426838,0.20658264069264073,1.359712723272727
2,Feb,22,0.6296453896796464,0.17572000000000002,1.2289018196363632
2,Feb,23,0.5112715114510077,0.12346545454545454,1.0357672727272729
3,Mar,0,0.44093997436647014,0.08511612903225807,0.8741483858064523
3,Mar,1,0.35558832177637795,0.0695705743509048,0.6773032277419359
3,Mar,2,0.2993371905758651,0.06321935483870969,0.5730129032258067
3,Mar,3,0.2724457519504958,0.060174193548387093,0.5160193548387102
3,Mar,4,0.26211897616760343,0.059425806451612904,0.5012709677419357
3,Mar,5,0.27383673880998854,0.061472140762463344,0.5420903225806455
3,Mar,6,0.32902455612382187,0.07134193548387097,0.678967741935484
3,Mar,7,0.4232182578093733,0.09683655913978495,0.8724064458064518
3,Mar,8,0.4946833191039244,0.12252903225806452,0.9892606478709679
3,Mar,9,0.4996866355049054,0.13351290322580645,0.992935481935484
3,Mar,10,0.49558798041991975,0.13101463414634146,0.9686903264516137
3,Mar,11,0.48996783705029395,0.12778064516129034,0.9665870980645167
3,Mar,12,0.49930158176360484,0.12730967741935484,0.9932018446082951
3,Mar,13,0.505591990107953,0.1342451612903226,0.9971556476612906
3,Mar,14,0.4963982911702445,0.13034193548387096,0.9845290316129033
3,Mar,15,0.4921034732955951,0.12669354838709676,0.9822709638709687
3,Mar,16,0.5264034770481083,0.13595483870967742,1.0440903225806453
3,Mar,17,0.5981548650121019,0.15553548387096774,1.171061290322581
3,Mar,18,0.7050260585653086,0.18950479937057435,1.3775516138709678
3,Mar,19,0.7802579069072686,0.21927741935483872,1.513927233818456
3,Mar,20,0.7513142306373867,0.21443870967741938,1.4556774212903227
3,Mar,21,0.7049704351718644,0.1990193548387097,1.3626580619354838
3,Mar,22,0.6312036043394452,0.1700967741935484,1.2360580645161305
3,Mar,23,0.5101474632066159,0.11601935483870968,1.0478516116129035
4,Apr,0,0.3211254886094472,0.07336333333333334,0.6055316638333332
4,Apr,1,0.2775265000205576,0.064315,0.5018933333333332
4,Apr,2,0.24601544592314395,0.06177529411764706,0.44460666666666665
4,Apr,3,0.23372980039064825,0.06006666666666667,0.44199
4,Apr,4,0.23868993608191577,0.061276666666666674,0.4614766666666666
4,Apr,5,0.2792536530617474,0.069234,0.55895
4,Apr,6,0.3647930263684346,0.09093833333333334,0.7362283299999999
4,Apr,7,0.42662552273961607,0.11443,0.833083333833333
4,Apr,8,0.4410764122256898,0.12561384615384616,0.8529899999999998
4,Apr,9,0.43838808495516624,0.12590666666666667,0.8370600006666666
4,Apr,10,0.4315220072135005,0.12256,0.8281233353333334
4,Apr,11,0.4363606881036644,0.11891837837837838,0.8444533333333337
4,Apr,12,0.4368006358145832,0.12574607843137253,0.8327333341666667
4,Apr,13,0.4206292371900272,0.12132666666666667,0.8031866673333334
4,Apr,14,0.4112062081558389,0.11870333333333334,0.7823535457204301
4,Apr,15,0.43167448198154607,0.12354666666666667,0.8370733356666666
4,Apr,16,0.4782778466617082,0.13795087719298246,0.9246966664999999
4,Apr,17,0.5331786661371527,0.15178166666666668,1.0422816661666667
4,Apr,18,0.5810206963288972,0.17014166666666666,1.112374999
4,Apr,19,0.6164578854916979,0.1873340860215054,1.1682166666666667
4,Apr,20,0.6279988432703036,0.19510592717929484,1.1869860714285716
4,Apr,21,0.5751996515018502,0.16985666666666666,1.0919750005000002
4,Apr,22,0.4690861772445496,0.1189,0.9319083040847458
4,Apr,23,0.3529526883316975,0.08544,0.7190700000000002
5,May,0,0.28097410139683104,0.0727008064516129,0.5266911949685535
5,May,1,0.23716516151445524,0.0643467741935484,0.4288145161290322
5,May,2,0.21286137880982853,0.062146483342147014,0.3923709661290322
5,May,3,0.20416770458296074,0.06133064516129032,0.3755483870967742
5,May,4,0.21193209288721104,0.06316162634408602,0.39210273492286113
5,May,5,0.24964712804576064,0.07063966175668304,0.47566935483870965
5,May,6,0.3311438793891833,0.08916086587436334,0.6399032225806451
5,May,7,0.38682392546787264,0.11177306168647425,0.7429838709677419
5,May,8,0.3937739198423565,0.12063870967741935,0.7537117014547761
5,May,9,0.3931853051908007,0.11787568843430371,0.7402622587741938
5,May,10,0.38589270810816545,0.11538544955387783,0.7289911923573202
5,May,11,0.3908424706747503,0.1155758064516129,0.7342225796774199
5,May,12,0.39233669338399074,0.12096774193548387,0.7324161290322583
5,May,13,0.3769147569252513,0.1173016129032258,0.6913870967741935
5,May,14,0.3680886258157071,0.11202492668621702,0.6884326396582834
5,May,15,0.38749698958158574,0.11763500793231095,0.7357392961876835
5,May,16,0.4317678640946421,0.12764086021505378,0.82700967983871
5,May,17,0.48076517143417535,0.14348794160322312,0.9207516129032259
5,May,18,0.5118055033704066,0.15628548387096775,0.9742567199462366
5,May,19,0.5215179024560107,0.1640070208728653,0.982848388525346
5,May,20,0.5400139724179686,0.16978322580645164,1.012568771988366
5,May,21,0.5219952348045358,0.15903330605564647,0.9795300390725807
5,May,22,0.4305112782579625,0.11788986175115208,0.8395155597722962
5,May,23,0.32282156529036343,0.08696451612903226,0.6481619941348974
6,Jun,0,0.2680236999515125,0.0738688888888889,0.5111583333333339
6,Jun,1,0.2247246379411183,0.06605736842105264,0.4209346296296297
6,Jun,2,0.20255212932645072,0.06265333333333334,0.3728330062444248
6,Jun,3,0.1945180441533871,0.062270000000000006,0.352113103448276
6,Jun,4,0.20127630244772649,0.06376833333333333,0.3644100000000001
6,Jun,5,0.23239076469502082,0.07046333333333334,0.4358133333333334
6,Jun,6,0.30265759251978286,0.08806689655172414,0.5779233333333335
6,Jun,7,0.3588885665932482,0.107345,0.6763566696666674
6,Jun,8,0.3721004088607765,0.11593333333333335,0.6944833266666667
6,Jun,9,0.37656568002726126,0.11871861635220127,0.7004150001666669
6,Jun,10,0.3723366423351473,0.11863666666666667,0.6887366670000005
6,Jun,11,0.37823934224734485,0.11668333333333333,0.7045966681666669
6,Jun,12,0.3801329639426848,0.12095525423728815,0.7048169491525433
